"Name","ResourceGroupName","Subscription"
"iaassqldatasause2dev","iaas-rg-use2-dev","Spectrum IaaS Landing Zone Subscription - Dev"
"web-kvlt-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"web-rsv-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"demo-sqldb-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"demosqldbuse2prodstorage","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"web-sp-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"web-ai-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"demo-app-use2-prodfront","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"demo-app-use2-prodapi","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"commondatasause2prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"timerfunc-sp-use2-prod","timerfunc-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"ngmdsync-use2-prod","timerfunc-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"cmealerts-use2-prod","timerfunc-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"truesky-use2-prod","timerfunc-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"credsqldbuse2prodstorage","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"cred-sqldb-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"cred-sqldb-use2-prod/msssync","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"demo-sqldb-use2-prod/demo-db","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"sqltest-use2-prod","timerfunc-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"cntrlsrvcssqldbuse2prods","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"cntrlsrvcs-sqldb-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"cntrlsrvcs-sp-use2-prod","web-rg-use2-prod","Spectrum Web App Landing Zone - Prod"
"web-ai-use2-dev","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"demosqldbuse2devstorage","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"demo-sqldb-use2-dev","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"credsqldbuse2devstorage","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"cred-sqldb-use2-dev","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"demo-sqldb-use2-dev/demo-db","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"cred-sqldb-use2-dev/msssync","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"cntrlsrvcs-sqldb-use2-dev","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"cntrlsrvcssqldbuse2devst","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"cntrlsrvcs-sp-use2-dev","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"web-sp-use2-dev","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"demo-app-use2-devapi","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"demo-app-use2-devfront","web-rg-use2-dev","Spectrum Web App Landing Zone - Dev"
"test-vnet2","testrg2","Networking Sandbox"
"demo-app-use2-devfrontpe.nic.2e610af1-a71c-41dc-a945-05a103a0166e","hub-rg-use2-dev","Spectrum Connectivity Subscription - Dev"
"demo-app-use2-devapipe.nic.0a3bd610-9930-4c7d-998e-5aad5b9b4c8d","hub-rg-use2-dev","Spectrum Connectivity Subscription - Dev"
"logs-laws-use2-prod","logs-rg-use2-prod","Spectrum Analytics Subscription - Prod"
"hub-kvlt-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"web-uai-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"privatelink.azurewebsites.net","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"privatelink.azurecr.io","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"privatelink.vaultcore.azure.net","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"privatelink.blob.core.windows.net","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"privatelink.database.windows.net","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"hub-pref-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"hub-vnet-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"SHCP_to_Azure","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"hub-pip-use2-prodfw","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"vngw-pip-use2-prodvnetgw","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"hub-vngw-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"hub-fw-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"privatelink.blob.core.windows.net/smscsqlstorageacct-use2-prodzlink","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"privatelink.vaultcore.azure.net/hub-pl-use2-prodzlink","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"privatelink.azurewebsites.net/hub-pl-use2-prodzlink","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"privatelink.database.windows.net/demo-db-use2-prodzlink","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"demo-sqldb-use2-prodstoreagepe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"hub-kvlt-use2-prodpe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"demo-sqldb-use2-prodpe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"web-kvlt-use2-prodpe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"demo-app-use2-prodfrontpe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"demo-app-use2-prodapipe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"hub-agw-use2-prodwafpol","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"hub-pip-use2-prodgw","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"hub-agw-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"Azure_to_SHCP","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"data-nsg-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"demo-nsg-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"web-nsg-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"gateway-nsg-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"hub-rt-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"commondata-use2-prodstoreagepe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"privatelink.azurewebsites.net/id-pl-use2-prodzlink","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"dns-lb-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"ngmdsync-use2-prodpe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"truesky-use2-prodpe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"cmealerts-use2-prodpe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"cred-sqldb-use2-prodstoreagepe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"cred-sqldb-use2-prodpe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"ftdemo-ip","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"iaassqldata-use2-prodstoreagepe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"sentinel-vm-pip","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"shcp-digitalpath-vm-pip","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"sqltest-use2-prodpe","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"dns-vmss-use2-prod","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
"pullgravityforms-pe-use2-prodpe.nic.c84c5e84-a56b-4512-8bec-657bac5d681c","hub-rg-use2-prod","Spectrum Connectivity Subscription - Prod"
